question,triage
How urgent is severe abdominal pain with vomiting after a heated argument for someone aged 80?,urgent
"Do I need to worry about choking and cannot breathe? I'm 40, he, it started after a cycling accident.",urgent
"I am 83 years old him. Since when I tried to stand up, I have been having sudden severe chest pain and shortness of breath. Should I go to the emergency room?",urgent
"My my boss, aged 37, suddenly got loss of consciousness after a head injury after a cycling accident. Is this life-threatening?",urgent
My baby sister (7 years old) just developed blood in stool with strong abdominal pain while at work. Should we call an ambulance?,urgent
"Is sudden vision loss in one eye following heavy exertion dangerous? Happened to my cousin, 62 years old.",urgent
"Rushed my cousin (57, woman) to hospital because of seizures with high fever. Was this the right thing?",urgent
How urgent is vomiting and severe diarrhea in a small child after being stung by an insect for someone aged 52?,urgent
"I'm 69, boy, feeling severe persistent headache and stiff neck with very high fever. Is this urgent?",urgent
"I'm 54, he, feeling sudden severe chest pain and shortness of breath when I woke up. Is this urgent?",urgent
"46 years old, her with vomiting blood and feeling faint after a fever for three days. Really scared, advice please!",urgent
"Is seizures with high fever while shopping dangerous? Happened to my nephew, 11 years old.",urgent
In what cases should someone with acute eye pain and sudden vision blurring after a fever for three days (age 44) seek emergency care?,urgent
My stepson (69 years old) just developed unable to speak and face drooping on one side in the middle of the night. Should we call an ambulance?,urgent
"My my spouse, aged 89, suddenly got sudden severe chest pain and shortness of breath after being stung by an insect. Is this life-threatening?",urgent
"I suddenly have vomiting and severe diarrhea in a small child and I am 79 years old . I'm really scared, what do I do?",urgent
"Patient: 63 years, woman. Presents: uncontrolled bleeding after dental procedure following heavy exertion. Admission needed?",urgent
"Is choking and cannot breathe with very high fever dangerous? Happened to my boyfriend, 53 years old.",urgent
I have not able to pass urine and distended abdomen since during a meal. I am 34 years old. Emergency?,urgent
"My my boss, aged 37, suddenly got vomiting and severe diarrhea in a small child just after taking my medication. Is this life-threatening?",urgent
"I suddenly have very rapid irregular heartbeat and dizziness and I am 64 years old . I'm really scared, what do I do?",urgent
Observing sudden vision loss in one eye in 66 year old while shopping. Should we go to ER?,urgent
"I am 68 years old boy. Since following a seizure, I have been having loss of movement in both arms after electric shock. Should I go to the emergency room?",urgent
"I'm 65, she, feeling breathing difficulty and wheezing after bee sting during the night. Is this urgent?",urgent
"Worried! sudden chest tightness after intense exercise started in my stepdaughter, aged 42, during a meal.",urgent
How urgent is seizures with high fever after returning from traveling abroad for someone aged 15?,urgent
"I'm 55, , feeling severe dehydration after prolonged vomiting after returning from traveling abroad. Is this urgent?",urgent
"Patient: 39 years, her. Presents: very rapid irregular heartbeat and dizziness following a seizure. Admission needed?",urgent
"vomiting and severe diarrhea in a small child since this morning, happened to a 31 year old. Is this time critical?",urgent
How urgent is choking and cannot breathe when I tried to stand up for someone aged 67?,urgent
"Is loss of movement in both arms after electric shock with sweating and nausea dangerous? Happened to my girlfriend, 69 years old.",urgent
"Is unable to speak and face drooping on one side with very high fever dangerous? Happened to my sister, 35 years old.",urgent
"Do I need to worry about difficulty speaking and weakness on one side of the body? I'm 20, , it started following a fall down the stairs.",urgent
"ER or wait? not able to pass urine and distended abdomen after eating unknown food, age 85.",urgent
I have choking and cannot breathe since with sweating and nausea. I am 83 years old. Emergency?,urgent
"Rushed my aunt (58, ) to hospital because of swallowing household product (poison ingestion). Was this the right thing?",urgent
My roommate (57 years old) just developed severe abdominal pain with vomiting after being stung by an insect. Should we call an ambulance?,urgent
How urgent is intense abdominal pain after eating questionable food for the past hour for someone aged 47?,urgent
Can you help? I'm a 52 year old and I just had vomiting blood and feeling faint in the middle of the night.,urgent
"ER or wait? intense abdominal pain after eating questionable food in the middle of the night, age 48.",urgent
"40 years old, man with seizures with high fever during a meal. Really scared, advice please!",urgent
"Patient: 8 years, boy. Presents: loss of consciousness after a head injury after a cycling accident. Admission needed?",urgent
"Do I need to worry about uncontrolled bleeding after dental procedure? I'm 33, woman, it started when I tried to stand up.",urgent
"My grandfather, aged 21, suddenly got blood in stool with strong abdominal pain since this morning. Is this life-threatening?",urgent
"Worried! severe persistent headache and stiff neck started in my grandmother, aged 8, after an episode of choking.",urgent
"I live with a 40 year old , now they are experiencing intense abdominal pain after eating questionable food during a meal. Do I need to act fast?",urgent
"My my teacher, aged 55, suddenly got not able to pass urine and distended abdomen after a cycling accident. Is this life-threatening?",urgent
"Worried! sudden severe chest pain and shortness of breath started in my niece, aged 81, after being stung by an insect.",urgent
"My someone I know, aged 65, suddenly got loss of movement in both arms after electric shock with very high fever. Is this life-threatening?",urgent
"My baby brother, aged 86, suddenly got choking and cannot breathe following a fall down the stairs. Is this life-threatening?",urgent
"Rushed my nephew (57, him) to hospital because of sudden vision loss in one eye. Was this the right thing?",urgent
How urgent is loss of consciousness after a head injury when I woke up for someone aged 5?,urgent
How urgent is breathing difficulty and wheezing after bee sting since this morning for someone aged 70?,urgent
I have heavy bleeding from a deep cut in the leg since with sweating and nausea. I am 65 years old. Emergency?,urgent
"10 years old, woman with sudden severe chest pain and shortness of breath since this morning. Really scared, advice please!",urgent
Can you help? I'm a 76 year old and I just had heavy bleeding from a deep cut in the leg since this morning.,urgent
Observing unable to speak and face drooping on one side in 42 year old after a heated argument. Should we go to ER?,urgent
"What should I do right now about uncontrolled bleeding after dental procedure after a dental procedure? Age 11, .",urgent
Emergency? swallowing household product (poison ingestion) started after intense abdominal cramps in a 29 year old man.,urgent
"Is loss of movement in both arms after electric shock after returning from traveling abroad dangerous? Happened to my my boss, 2 years old.",urgent
"What should I do right now about uncontrolled bleeding after dental procedure following a seizure? Age 32, woman.",urgent
"My boyfriend, aged 49, suddenly got choking and cannot breathe while shopping. Is this life-threatening?",urgent
I have high fever and purple skin spots since after a dental procedure. I am 25 years old. Emergency?,urgent
I have vomiting blood and feeling faint since when I tried to stand up. I am 61 years old. Emergency?,urgent
"Rushed my my patient (73, he) to hospital because of mental confusion and agitation in elderly. Was this the right thing?",urgent
"Worried! severe allergic reaction with tongue swelling started in my niece, aged 44, while exercising.",urgent
Can you help? I'm a 10 year old her and I just had acute eye pain and sudden vision blurring after a car accident.,urgent
Can you help? I'm a 28 year old girl and I just had acute eye pain and sudden vision blurring just after taking my medication.,urgent
"I suddenly have severe dehydration after prolonged vomiting and I am 67 years old him. I'm really scared, what do I do?",urgent
Can you help? I'm a 35 year old him and I just had sudden vision loss in one eye while shopping.,urgent
"27 years old, with vomiting and severe diarrhea in a small child after returning from traveling abroad. Really scared, advice please!",urgent
"Is mental confusion and agitation in elderly after fainting at home dangerous? Happened to my daughter, 61 years old.",urgent
"Is difficulty speaking and weakness on one side of the body with blue lips dangerous? Happened to my husband, 34 years old.",urgent
"What should I do right now about high fever and purple skin spots as soon as I started running? Age 80, him.",urgent
Can you help? I'm a 2 year old she and I just had severe persistent headache and stiff neck in the middle of the night.,urgent
"I'm 8, woman, feeling severe abdominal pain with vomiting during the night. Is this urgent?",urgent
"Patient: 12 years, man. Presents: loss of movement in both arms after electric shock following a seizure. Admission needed?",urgent
I have high fever and purple skin spots since as soon as I started running. I am 18 years old. Emergency?,urgent
"Worried! unable to speak and face drooping on one side started in my my spouse, aged 38, with sweating and nausea.",urgent
Observing heavy bleeding from a deep cut in the leg in 31 year old woman after returning from traveling abroad. Should we go to ER?,urgent
"mental confusion and agitation in elderly when I tried to stand up, happened to a 46 year old. Is this time critical?",urgent
Emergency? vomiting and severe diarrhea in a small child started after a heated argument in a 34 year old him.,urgent
My stepdaughter (58 years old) just developed blood in stool with strong abdominal pain while at work. Should we call an ambulance?,urgent
Emergency? not able to pass urine and distended abdomen started after intense abdominal cramps in a 5 year old she.,urgent
Can you help? I'm a 60 year old her and I just had broken bone visible through skin while at work.,urgent
"Is unable to speak and face drooping on one side just after taking my medication dangerous? Happened to my stepson, 86 years old.",urgent
"I'm 50, boy, feeling severe dehydration after prolonged vomiting since this morning. Is this urgent?",urgent
How urgent is excruciating testicular pain and swelling when I woke up for someone aged 66?,urgent
"ER or wait? unable to speak and face drooping on one side after a dental procedure, age 53.",urgent
In what cases should someone with excruciating testicular pain and swelling with blue lips (age 20) seek emergency care?,urgent
"Rushed my aunt (15, ) to hospital because of sudden chest tightness after intense exercise. Was this the right thing?",urgent
"What should I do right now about broken bone visible through skin while at work? Age 80, man.",urgent
In what cases should someone with severe abdominal pain with vomiting after a cycling accident (age 49) seek emergency care?,urgent
"I'm 11, boy, feeling loss of consciousness after a head injury while at work. Is this urgent?",urgent
"I'm 7, him, feeling severe dehydration after prolonged vomiting while shopping. Is this urgent?",urgent
"I am 58 years old . Since with mental confusion, I have been having difficulty speaking and weakness on one side of the body. Should I go to the emergency room?",urgent
Can you help? I'm a 47 year old and I just had major burns with skin peeling off while shopping.,urgent
"I live with a 25 year old boy, now they are experiencing mental confusion and agitation in elderly after eating unknown food. Do I need to act fast?",urgent
"not able to pass urine and distended abdomen for the past hour, happened to a 49 year old. Is this time critical?",urgent
I have vomiting blood and feeling faint since after a car accident. I am 61 years old. Emergency?,urgent
"ER or wait? intense abdominal pain after eating questionable food when I woke up, age 19.",urgent
"Do I need to worry about acute eye pain and sudden vision blurring? I'm 11, girl, it started after fainting at home.",urgent
"Do I need to worry about swallowing household product (poison ingestion)? I'm 33, girl, it started when I woke up.",urgent
"Do I need to worry about choking and cannot breathe? I'm 63, him, it started after a cycling accident.",urgent
"Is loss of movement in both arms after electric shock during the night dangerous? Happened to my my friend’s parent, 47 years old.",urgent
"I live with a 53 year old , now they are experiencing broken bone visible through skin in the middle of the night. Do I need to act fast?",urgent
"new epileptic seizures for the first time following heavy exertion, happened to a 37 year old. Is this time critical?",urgent
"Worried! excruciating testicular pain and swelling started in my stepmother, aged 59, just after taking my medication.",urgent
"Rushed my my sibling (34, boy) to hospital because of choking and cannot breathe. Was this the right thing?",urgent
"Patient: 24 years, him. Presents: mental confusion and agitation in elderly after an episode of choking. Admission needed?",urgent
I have heavy bleeding from a deep cut in the leg since with mental confusion. I am 79 years old. Emergency?,urgent
"I'm 58, , feeling severe persistent headache and stiff neck with mental confusion. Is this urgent?",urgent
"Rushed my father (89, ) to hospital because of broken bone visible through skin. Was this the right thing?",urgent
"Is severe allergic reaction with tongue swelling after a car accident dangerous? Happened to my uncle, 68 years old.",urgent
"My someone I know, aged 78, suddenly got uncontrolled bleeding after dental procedure after eating unknown food. Is this life-threatening?",urgent
"What should I do right now about blood in stool with strong abdominal pain after fainting at home? Age 2, girl.",urgent
"Worried! sudden chest tightness after intense exercise started in my my spouse, aged 84, after being stung by an insect.",urgent
"Rushed my boyfriend (31, her) to hospital because of choking and cannot breathe. Was this the right thing?",urgent
"ER or wait? severe allergic reaction with tongue swelling after fainting at home, age 77.",urgent
"Patient: 27 years, . Presents: breathing difficulty and wheezing after bee sting after an episode of choking. Admission needed?",urgent
"Worried! breathing difficulty and wheezing after bee sting started in my stepdaughter, aged 37, after fainting at home.",urgent
"What should I do right now about difficulty speaking and weakness on one side of the body while at work? Age 30, .",urgent
In what cases should someone with acute eye pain and sudden vision blurring after a fever for three days (age 30) seek emergency care?,urgent
"Do I need to worry about choking and cannot breathe? I'm 87, her, it started during the night.",urgent
"Do I need to worry about broken bone visible through skin? I'm 77, he, it started as soon as I started running.",urgent
How urgent is high fever and purple skin spots after a fever for three days for someone aged 46?,urgent
I have vomiting and severe diarrhea in a small child since while at work. I am 15 years old. Emergency?,urgent
I have intense abdominal pain after eating questionable food since as soon as I started running. I am 29 years old. Emergency?,urgent
"Worried! vomiting blood and feeling faint started in my sister, aged 17, after a car accident.",urgent
Emergency? difficulty speaking and weakness on one side of the body started following heavy exertion in a 44 year old .,urgent
"excruciating testicular pain and swelling with blue lips, happened to a 1 year old. Is this time critical?",urgent
Emergency? choking and cannot breathe started for the past hour in a 8 year old .,urgent
"Rushed my wife (7, woman) to hospital because of unable to speak and face drooping on one side. Was this the right thing?",urgent
In what cases should someone with unable to speak and face drooping on one side after eating unknown food (age 44) seek emergency care?,urgent
"Worried! difficulty speaking and weakness on one side of the body started in my father, aged 14, following a fall down the stairs.",urgent
"mental confusion and agitation in elderly with very high fever, happened to a 62 year old. Is this time critical?",urgent
"What should I do right now about loss of movement in both arms after electric shock following a seizure? Age 68, him.",urgent
"Rushed my stepmother (40, ) to hospital because of heavy bleeding from a deep cut in the leg. Was this the right thing?",urgent
I have broken bone visible through skin since with blue lips. I am 39 years old. Emergency?,urgent
Emergency? broken bone visible through skin started after intense abdominal cramps in a 83 year old boy.,urgent
"I suddenly have severe sudden back pain and weakness in legs and I am 12 years old he. I'm really scared, what do I do?",urgent
"I live with a 24 year old , now they are experiencing swallowing household product (poison ingestion) after being stung by an insect. Do I need to act fast?",urgent
Can you help? I'm a 80 year old man and I just had new epileptic seizures for the first time with blue lips.,urgent
"Patient: 82 years, . Presents: unable to speak and face drooping on one side during a meal. Admission needed?",urgent
Observing swallowing household product (poison ingestion) in 80 year old woman with very high fever. Should we go to ER?,urgent
"ER or wait? blood in stool with strong abdominal pain after eating unknown food, age 72.",urgent
"My my child, aged 74, suddenly got loss of consciousness after a head injury in the middle of the night. Is this life-threatening?",urgent
"Is mental confusion and agitation in elderly after intense abdominal cramps dangerous? Happened to my son, 32 years old.",urgent
In what cases should someone with seizures with high fever following heavy exertion (age 53) seek emergency care?,urgent
"What should I do right now about breathing difficulty and wheezing after bee sting with very high fever? Age 16, .",urgent
"I live with a 13 year old she, now they are experiencing mental confusion and agitation in elderly while exercising. Do I need to act fast?",urgent
Can you help? I'm a 36 year old he and I just had loss of movement in both arms after electric shock in the middle of the night.,urgent
My grandmother (52 years old) just developed very rapid irregular heartbeat and dizziness while shopping. Should we call an ambulance?,urgent
"Is high fever and purple skin spots after eating unknown food dangerous? Happened to my stepmother, 68 years old.",urgent
"What should I do right now about very rapid irregular heartbeat and dizziness with sweating and nausea? Age 30, woman.",urgent
"Do I need to worry about swallowing household product (poison ingestion)? I'm 29, , it started after eating unknown food.",urgent
"I am 59 years old . Since following a fall down the stairs, I have been having unable to speak and face drooping on one side. Should I go to the emergency room?",urgent
Can you help? I'm a 60 year old and I just had choking and cannot breathe after a car accident.,urgent
How urgent is new epileptic seizures for the first time in the middle of the night for someone aged 34?,urgent
Can you help? I'm a 28 year old woman and I just had excruciating testicular pain and swelling while exercising.,urgent
My grandfather (8 years old) just developed not able to pass urine and distended abdomen when I woke up. Should we call an ambulance?,urgent
Observing acute eye pain and sudden vision blurring in 19 year old him with blue lips. Should we go to ER?,urgent
"Is severe dehydration after prolonged vomiting with blue lips dangerous? Happened to my brother, 7 years old.",urgent
Observing new epileptic seizures for the first time in 64 year old he after eating unknown food. Should we go to ER?,urgent
"Is sudden vision loss in one eye with blue lips dangerous? Happened to my uncle, 14 years old.",urgent
"ER or wait? excruciating testicular pain and swelling after a dental procedure, age 41.",urgent
"I'm 84, he, feeling severe abdominal pain with vomiting with very high fever. Is this urgent?",urgent
"I'm 50, , feeling high fever and purple skin spots after a cycling accident. Is this urgent?",urgent
"I suddenly have uncontrolled bleeding after dental procedure and I am 23 years old him. I'm really scared, what do I do?",urgent
"What should I do right now about severe abdominal pain with vomiting as soon as I started running? Age 20, .",urgent
Can you help? I'm a 56 year old man and I just had severe allergic reaction with tongue swelling since this morning.,urgent
"Patient: 25 years, boy. Presents: heavy bleeding from a deep cut in the leg after a car accident. Admission needed?",urgent
Observing severe allergic reaction with tongue swelling in 87 year old her after a fever for three days. Should we go to ER?,urgent
"19 years old, woman with sudden severe chest pain and shortness of breath with mental confusion. Really scared, advice please!",urgent
"My husband, aged 72, suddenly got vomiting and severe diarrhea in a small child after being stung by an insect. Is this life-threatening?",urgent
"sudden vision loss in one eye for the past hour, happened to a 75 year old. Is this time critical?",urgent
"54 years old, her with intense abdominal pain after eating questionable food after being stung by an insect. Really scared, advice please!",urgent
"I live with a 19 year old , now they are experiencing high fever and purple skin spots after returning from traveling abroad. Do I need to act fast?",urgent
"Do I need to worry about difficulty speaking and weakness on one side of the body? I'm 3, she, it started while shopping.",urgent
"My my teacher, aged 75, suddenly got very rapid irregular heartbeat and dizziness after an episode of choking. Is this life-threatening?",urgent
In what cases should someone with difficulty speaking and weakness on one side of the body for the past hour (age 18) seek emergency care?,urgent
"I am 65 years old she. Since with mental confusion, I have been having choking and cannot breathe. Should I go to the emergency room?",urgent
"I suddenly have vomiting blood and feeling faint and I am 51 years old . I'm really scared, what do I do?",urgent
"Worried! breathing difficulty and wheezing after bee sting started in my colleague, aged 64, after an episode of choking.",urgent
"Do I need to worry about heavy bleeding from a deep cut in the leg? I'm 17, boy, it started while exercising.",urgent
"Do I need to worry about very rapid irregular heartbeat and dizziness? I'm 53, him, it started after eating unknown food.",urgent
"68 years old, woman with uncontrolled bleeding after dental procedure following a seizure. Really scared, advice please!",urgent
"Do I need to worry about not able to pass urine and distended abdomen? I'm 87, she, it started during a meal.",urgent
"Worried! not able to pass urine and distended abdomen started in my grandmother, aged 88, while at work.",urgent
"I live with a 1 year old he, now they are experiencing difficulty speaking and weakness on one side of the body while exercising. Do I need to act fast?",urgent
"My niece, aged 37, suddenly got major burns with skin peeling off after a dental procedure. Is this life-threatening?",urgent
How urgent is severe dehydration after prolonged vomiting while shopping for someone aged 55?,urgent
I have very rapid irregular heartbeat and dizziness since just after taking my medication. I am 10 years old. Emergency?,urgent
Can you help? I'm a 25 year old and I just had loss of consciousness after a head injury during a meal.,urgent
"I live with a 50 year old he, now they are experiencing unable to speak and face drooping on one side as soon as I started running. Do I need to act fast?",urgent
Emergency? severe persistent headache and stiff neck started after a cycling accident in a 71 year old boy.,urgent
Observing broken bone visible through skin in 49 year old girl after intense abdominal cramps. Should we go to ER?,urgent
Observing very rapid irregular heartbeat and dizziness in 45 year old she during a meal. Should we go to ER?,urgent
"My boyfriend, aged 48, suddenly got not able to pass urine and distended abdomen after a car accident. Is this life-threatening?",urgent
"Rushed my my twin (13, girl) to hospital because of heavy bleeding from a deep cut in the leg. Was this the right thing?",urgent
"Rushed my partner (50, woman) to hospital because of unable to speak and face drooping on one side. Was this the right thing?",urgent
"My my sibling, aged 85, suddenly got sudden vision loss in one eye after being stung by an insect. Is this life-threatening?",urgent
My someone I know (34 years old) just developed blood in stool with strong abdominal pain as soon as I started running. Should we call an ambulance?,urgent
Emergency? swallowing household product (poison ingestion) started during a meal in a 58 year old her.,urgent
"unable to speak and face drooping on one side for the past hour, happened to a 39 year old. Is this time critical?",urgent
"Is seizures with high fever after a cycling accident dangerous? Happened to my my spouse, 21 years old.",urgent
How urgent is broken bone visible through skin since this morning for someone aged 55?,urgent
"I suddenly have major burns with skin peeling off and I am 74 years old girl. I'm really scared, what do I do?",urgent
I have intense abdominal pain after eating questionable food since since this morning. I am 76 years old. Emergency?,urgent
Observing heavy bleeding from a deep cut in the leg in 74 year old him after returning from traveling abroad. Should we go to ER?,urgent
"sudden chest tightness after intense exercise while exercising, happened to a 21 year old. Is this time critical?",urgent
How urgent is heavy bleeding from a deep cut in the leg following a fall down the stairs for someone aged 31?,urgent
"I live with a 64 year old , now they are experiencing seizures with high fever after a car accident. Do I need to act fast?",urgent
"I live with a 81 year old man, now they are experiencing breathing difficulty and wheezing after bee sting after a car accident. Do I need to act fast?",urgent
"Rushed my mother (18, ) to hospital because of loss of movement in both arms after electric shock. Was this the right thing?",urgent
"Is severe dehydration after prolonged vomiting while at work dangerous? Happened to my cousin, 83 years old.",urgent
"I'm 81, , feeling heavy bleeding from a deep cut in the leg following heavy exertion. Is this urgent?",urgent
"ER or wait? broken bone visible through skin when I tried to stand up, age 16.",urgent
"I suddenly have severe dehydration after prolonged vomiting and I am 30 years old . I'm really scared, what do I do?",urgent
"blood in stool with strong abdominal pain after intense abdominal cramps, happened to a 16 year old. Is this time critical?",urgent
"Do I need to worry about mental confusion and agitation in elderly? I'm 3, , it started following a fall down the stairs.",urgent
"Do I need to worry about blood in stool with strong abdominal pain? I'm 55, woman, it started for the past hour.",urgent
"ER or wait? vomiting and severe diarrhea in a small child after a fever for three days, age 41.",urgent
"I suddenly have vomiting and severe diarrhea in a small child and I am 76 years old man. I'm really scared, what do I do?",urgent
"I suddenly have severe persistent headache and stiff neck and I am 78 years old girl. I'm really scared, what do I do?",urgent
"Patient: 15 years, girl. Presents: choking and cannot breathe while exercising. Admission needed?",urgent
How urgent is intense abdominal pain after eating questionable food after a cycling accident for someone aged 32?,urgent
"I suddenly have severe allergic reaction with tongue swelling and I am 22 years old boy. I'm really scared, what do I do?",urgent
"My sister, aged 53, suddenly got high fever and purple skin spots following heavy exertion. Is this life-threatening?",urgent
I have difficulty speaking and weakness on one side of the body since as soon as I started running. I am 68 years old. Emergency?,urgent
"I suddenly have intense abdominal pain after eating questionable food and I am 41 years old he. I'm really scared, what do I do?",urgent
"I live with a 20 year old her, now they are experiencing high fever and purple skin spots after intense abdominal cramps. Do I need to act fast?",urgent
"49 years old, her with breathing difficulty and wheezing after bee sting while shopping. Really scared, advice please!",urgent
Can you help? I'm a 51 year old man and I just had swallowing household product (poison ingestion) after a car accident.,urgent
Emergency? mental confusion and agitation in elderly started for the past hour in a 23 year old she.,urgent
Can you help? I'm a 52 year old and I just had not able to pass urine and distended abdomen while at work.,urgent
"ER or wait? high fever and purple skin spots after a heated argument, age 88.",urgent
"Patient: 30 years, . Presents: sudden severe chest pain and shortness of breath after intense abdominal cramps. Admission needed?",urgent
"I live with a 55 year old woman, now they are experiencing broken bone visible through skin while exercising. Do I need to act fast?",urgent
Emergency? severe sudden back pain and weakness in legs started after returning from traveling abroad in a 75 year old her.,urgent
"loss of movement in both arms after electric shock following a fall down the stairs, happened to a 30 year old. Is this time critical?",urgent
I have not able to pass urine and distended abdomen since while shopping. I am 48 years old. Emergency?,urgent
"Worried! sudden vision loss in one eye started in my grandfather, aged 18, after intense abdominal cramps.",urgent
"What should I do right now about sudden vision loss in one eye while at work? Age 4, him.",urgent
How urgent is not able to pass urine and distended abdomen while exercising for someone aged 60?,urgent
"My mother, aged 23, suddenly got difficulty speaking and weakness on one side of the body after being stung by an insect. Is this life-threatening?",urgent
"75 years old, he with vomiting blood and feeling faint in the middle of the night. Really scared, advice please!",urgent
How urgent is intense abdominal pain after eating questionable food after a dental procedure for someone aged 45?,urgent
"What should I do right now about severe persistent headache and stiff neck after an episode of choking? Age 17, girl.",urgent
"I am 45 years old her. Since during the night, I have been having acute eye pain and sudden vision blurring. Should I go to the emergency room?",urgent
"I live with a 79 year old , now they are experiencing sudden vision loss in one eye during a meal. Do I need to act fast?",urgent
Emergency? not able to pass urine and distended abdomen started when I tried to stand up in a 32 year old girl.,urgent
"ER or wait? sudden vision loss in one eye during a meal, age 55.",urgent
"I am 24 years old she. Since during a meal, I have been having uncontrolled bleeding after dental procedure. Should I go to the emergency room?",urgent
"Patient: 86 years, girl. Presents: sudden chest tightness after intense exercise after fainting at home. Admission needed?",urgent
"Patient: 66 years, . Presents: mental confusion and agitation in elderly as soon as I started running. Admission needed?",urgent
I have severe abdominal pain with vomiting since during a meal. I am 13 years old. Emergency?,urgent
In what cases should someone with very rapid irregular heartbeat and dizziness while at work (age 66) seek emergency care?,urgent
"Patient: 31 years, she. Presents: mental confusion and agitation in elderly after a car accident. Admission needed?",urgent
"My daughter, aged 85, suddenly got blood in stool with strong abdominal pain with blue lips. Is this life-threatening?",urgent
"33 years old, woman with major burns with skin peeling off with blue lips. Really scared, advice please!",urgent
My boyfriend (50 years old) just developed seizures with high fever after intense abdominal cramps. Should we call an ambulance?,urgent
My brother (64 years old) just developed severe persistent headache and stiff neck when I woke up. Should we call an ambulance?,urgent
"I'm 72, her, feeling intense abdominal pain after eating questionable food after a car accident. Is this urgent?",urgent
"What should I do right now about seizures with high fever after fainting at home? Age 84, woman.",urgent
"unable to speak and face drooping on one side after a cycling accident, happened to a 75 year old. Is this time critical?",urgent
"I'm 31, woman, feeling seizures with high fever following heavy exertion. Is this urgent?",urgent
"80 years old, her with blood in stool with strong abdominal pain as soon as I started running. Really scared, advice please!",urgent
"I live with a 74 year old , now they are experiencing choking and cannot breathe with blue lips. Do I need to act fast?",urgent
Emergency? very rapid irregular heartbeat and dizziness started after a fever for three days in a 5 year old .,urgent
"Worried! loss of consciousness after a head injury started in my my boss, aged 76, after an episode of choking.",urgent
"My baby brother, aged 73, suddenly got heavy bleeding from a deep cut in the leg after returning from traveling abroad. Is this life-threatening?",urgent
"sudden chest tightness after intense exercise during the night, happened to a 10 year old. Is this time critical?",urgent
"Do I need to worry about loss of consciousness after a head injury? I'm 84, man, it started following a fall down the stairs.",urgent
"What should I do right now about unable to speak and face drooping on one side after intense abdominal cramps? Age 27, boy.",urgent
Emergency? intense abdominal pain after eating questionable food started during the night in a 87 year old .,urgent
